g'11	-48	-50	-9.6
g'12	-52	-50	-9.6
g'13	-56	-50	-9.6
g'14	-59	-50	-9.6
s'1	-2.9	-55	8.4
s'2	-6.1	-55	8.5
s'3	-9.8	-55	8.6
s'4	-13	-55	8.7
s'5	-17	-55	8.8
s'6	-20	-55	8.9
s'7	-24	-55	9
s'8	-27	-55	9
s'9	-31	-55	9.1
s'10	-34	-55	9.2
s'11	-38	-55	9.3
s'12	-41	-55	9.4
s'13	-44	-55	9.5
s'14	-48	-55	9.6
s'15	-51	-55	9.7
s'16	-55	-55	9.8
s'17	-58	-55	9.9
s'18	-62	-55	10
s'19	-65	-55	10
o'1	-2.9	-59	-1.4
o'2	-5.8	-59	-1.4
o'3	-9.4	-59	-1.3
o'4	-13	-59	-1.3
o'5	-16	-59	-1.2
o'6	-20	-59	-1.2
o'7	-24	-59	-1.1
o'8	-27	-59	-1.1
o'9	-31	-59	-1
o'10	-34	-59	-0.98
o'11	-38	-59	-0.93
o'12	-41	-59	-0.88
o'13	-45	-59	-0.83
o'14	-48	-59	-0.78
o'15	-52	-59	-0.74
o'16	-55	-59	-0.69
o'17	-59	-59	-0.64
ecg1	0	0	0
ecg2	0	0	0
