s'1	-2.6	-70	15
s'2	-6.3	-70	15
s'3	-11	-70	15
s'4	-14	-70	15
s'5	-18	-70	15
s'6	-22	-70	15
s'7	-26	-70	15
s'8	-30	-70	15
s'9	-34	-69	15
s'10	-38	-69	15
s'11	-42	-69	15
s'12	-46	-69	15
s'13	-49	-68	14
s'14	-53	-68	14
s'15	-56	-68	14
s'16	-60	-68	14
s'17	-63	-67	14
s'18	-67	-67	14
s'19	-70	-67	14
o'1	-2.3	-77	5
o'2	-5.7	-77	4.8
o'3	-9.5	-77	4.8
o'4	-14	-77	4.8
o'5	-18	-77	4.7
o'6	-22	-77	4.7
o'7	-26	-76	4.7
o'8	-30	-76	4.6
o'9	-33	-76	4.6
o'10	-37	-76	4.4
o'11	-41	-76	4.2
o'12	-45	-75	4
o'13	-49	-75	3.8
o'14	-52	-75	3.7
o'15	-56	-74	3.6
o'16	-60	-74	3.4
o'17	-63	-74	3.3
ecg1	0	0	0
ecg2	0	0	0
