-30	13	10
-30	10	12
-29	7.4	14
-29	4.3	16
-29	2	18
-29	-1	20
-28	-4.1	22
-28	-7.1	24
-28	-9.4	26
-28	-12	28
-27	-16	30
-27	-19	32
-27	-21	34
-27	-24	36
-27	-27	38
-26	-29	40
-26	-32	42
-26	-35	44
-26	-38	46
-25	-41	48
-25	-44	50
-25	-47	52
-25	-50	54
-24	-52	56
-24	-55	58
-24	-58	60
-24	-61	63
-32	2	7.6
-35	2.1	7.6
-39	2.1	7.6
-42	2.2	7.6
-46	2.3	7.6
-49	2.3	7.6
-52	2.4	7.6
-56	2.5	7.6
-59	2.5	7.6
-63	2.6	7.6
-66	2.7	7.6
-70	2.8	7.6
-31	-11	15
-34	-11	15
-37	-11	15
-41	-11	15
-44	-11	15
-48	-11	15
-52	-12	15
-55	-12	15
-59	-12	15
-62	-12	15
-66	-12	15
-69	-12	15
-0.5	-30	30
-4	-30	30
-7.4	-30	30
-11	-30	30
-14	-30	30
-18	-30	30
-21	-30	30
-25	-31	30
-28	-31	30
-32	-31	30
-35	-31	30
-39	-31	30
-42	-31	30
-46	-31	30
-49	-31	30
-53	-31	30
-56	-31	30
-60	-31	30
-63	-31	30
-67	-32	30
-0.5	-55	26
-3.6	-55	26
-7.4	-55	26
-11	-55	26
-14	-55	26
-18	-55	26
-21	-55	26
-24	-55	26
-28	-55	26
-32	-55	26
-35	-55	26
-39	-55	26
-42	-55	26
-46	-55	26
-49	-55	26
-53	-55	26
-56	-55	26
-60	-55	26
-17	7.7	-12
-20	7.7	-12
-24	7.7	-12
-27	7.7	-12
-31	7.7	-12
-34	7.7	-12
-37	7.7	-12
-41	7.7	-12
-45	7.7	-12
-48	7.7	-12
-51	7.7	-12
-55	7.7	-12
-59	7.7	-12
-62	7.7	-12
-65	7.7	-12
-18	-4.6	-3.1
-21	-4.4	-3.1
-24	-4.2	-3.1
-28	-3.9	-3.1
-32	-3.7	-3.1
-35	-3.5	-3.1
-38	-3.3	-3.1
-42	-3	-3.1
-46	-2.8	-3.1
-49	-2.6	-3.1
-52	-2.4	-3.1
-56	-2.2	-3.1
-59	-1.9	-3.1
-63	-1.7	-3.1
-66	-1.5	-3.1
-22	-23	1.9
-25	-23	1.9
-28	-23	1.9
-32	-23	1.9
-35	-23	1.9
-39	-23	1.9
-43	-23	1.9
-46	-23	1.9
-49	-23	1.9
-53	-23	1.9
-56	-23	1.9
-60	-23	1.9
-64	-23	1.9
-67	-23	1.9
-25	-32	6.8
-28	-33	6.8
-32	-33	6.8
-35	-33	6.8
-39	-33	6.8
-42	-33	6.8
-46	-33	6.8
-49	-33	6.8
-53	-33	6.8
-56	-34	6.8
-60	-34	6.8
-63	-34	6.8
-67	-34	6.8
-70	-34	6.8
-18	-17	-3.9
-21	-17	-3.9
-24	-17	-3.9
-28	-17	-3.9
-31	-17	-3.9
-35	-17	-3.9
-39	-17	-3.9
-42	-17	-3.9
-45	-17	-3.9
-49	-17	-3.9
-52	-17	-3.9
-56	-17	-3.9
-60	-17	-3.9
-63	-17	-3.9
-66	-17	-3.9
-14	-41	-3.9
-17	-40	-3.9
-20	-40	-3.9
-24	-40	-3.9
-27	-40	-3.9
-31	-39	-3.9
-35	-39	-3.9
-38	-39	-3.9
-41	-39	-3.9
-45	-38	-3.9
-48	-38	-3.9
-52	-38	-3.9
-55	-37	-3.9
-59	-37	-3.9
-62	-37	-3.9
-18	-33	-8
-21	-33	-8.1
-24	-34	-8.2
-28	-34	-8.3
-31	-34	-8.4
-35	-34	-8.5
-38	-34	-8.7
-42	-34	-8.8
-46	-34	-8.9
-49	-34	-9
-52	-34	-9.1
-56	-34	-9.2
-59	-35	-9.3
-63	-35	-9.4
-66	-35	-9.5
-14	-50	-9.6
-17	-50	-9.6
-20	-50	-9.6
-24	-50	-9.6
-28	-50	-9.6
-31	-50	-9.6
-34	-50	-9.6
-38	-50	-9.6
-42	-50	-9.6
-45	-50	-9.6
-48	-50	-9.6
-52	-50	-9.6
-56	-50	-9.6
-59	-50	-9.6
-2.9	-55	8.4
-6.1	-55	8.5
-9.8	-55	8.6
-13	-55	8.7
-17	-55	8.8
-20	-55	8.9
-24	-55	9
-27	-55	9
-31	-55	9.1
-34	-55	9.2
-38	-55	9.3
-41	-55	9.4
-44	-55	9.5
-48	-55	9.6
-51	-55	9.7
-55	-55	9.8
-58	-55	9.9
-62	-55	10
-65	-55	10
-2.9	-59	-1.4
-5.8	-59	-1.4
-9.4	-59	-1.3
-13	-59	-1.3
-16	-59	-1.2
-20	-59	-1.2
-24	-59	-1.1
-27	-59	-1.1
-31	-59	-1
-34	-59	-0.98
-38	-59	-0.93
-41	-59	-0.88
-45	-59	-0.83
-48	-59	-0.78
-52	-59	-0.74
-55	-59	-0.69
-59	-59	-0.64
0	0	0
0	0	0
